date,Crypto,Stock
2015-08,63.0408885417,348.6638690476
2015-09,59.8356391667,343.5260714286
2015-10,67.1385467742,364.9740909091
2015-11,87.824635,409.6985
2015-12,107.2212387097,414.6926704545
2016-01,105.3710137097,386.1615789474
2016-02,103.2512931034,364.688375
2016-03,108.8682258065,382.2354545455
2016-04,112.82325,396.6700595238
2016-05,120.2749193548,407.9986309524
2016-06,165.4238333333,411.9213068182
2016-07,171.4512903226,424.4330625
2016-08,151.5380645161,448.9827604167
2016-09,158.1173333333,456.308625
2016-10,166.3445967742,472.1376190476
2016-11,186.4309166667,445.6798285714
2016-12,209.5099193548,449.2923809524
2017-01,234.2587096774,469.3663125
2017-02,272.2316964286,483.7287171053
2017-03,311.3477419355,496.2347282609
2017-04,334.4089166667,512.0816776316
2017-05,522.1296774194,555.3615909091
2017-06,781.88575,567.5197727273
2017-07,739.4726612903,569.28359375
2017-08,1102.8689516129,560.0411413043
2017-09,1200.319,561.684375
2017-10,1528.7785,582.3590340909
